S/N,Base,Type,Dte,Types of Eqpt,Brand & Model,Serial No,"Processor, RAM & HDD/SSD",CPU,RAM,HDD,SSD,Status,Location,Remarks by CW&IT,Remarks,Win 10 RMK,AD Status
212,Air HQ,Existing,Air HQ (U),Desktop,Clone,N/A,Core i5 10th gen RAM:8GB SSD: 512GB,Core i5 10th gen,8GB,0,512GB,svc,Foreign TA/DA,,,,
213,Air HQ,Existing,Air HQ (U),Desktop,Clone,N/A,Core i3 6th gen RAM:4GB HDD: 465 GB,Core i3 6th gen,4GB,465 GB,0,svc,Unit Accts,,,,
214,Air HQ,Existing,Air HQ (U),All-in-One,HP pro 200G422,8CC1420P9C,Core i5 10th gen RAM:8GB SSD: 512 GB,Core i5 10th gen,8GB,0,512 GB,svc,LP,,,,
215,Air HQ,Existing,Air HQ (U),All-in-One,HP Pro One 240,8CC324E84,Core i5 12th gen RAM:6GB SSD: 512 GB,Core i5 12th gen,6GB,0,512 GB,svc,Store,,,,
216,Air HQ,Existing,Air HQ (U),All-in-One,Lenovo Idea Centre,MP2ATMMC,Core i5 13th gen RAM:8GB SSD: 512 GB,Core i5 13th gen,8GB,0,512 GB,svc,LP,,,,
217,Air HQ,Existing,Air HQ (U),Desktop,Clone,N/A,Core i3 8th gen RAM:8GB SSD: 128 GB HDD: 1TB,Core i3 8th gen,8GB,1TB,128 GB,svc,LP,,,,
218,Air HQ,Existing,Air HQ (U),Desktop,Clone,N/A,Core i3 8th gen RAM:8GB SSD: 128 GB HDD: 1TB,Core i3 8th gen,8GB,1TB,128 GB,svc,LP,,,,
219,Air HQ,Existing,Air HQ (U),Desktop,Clone,N/A,Core i5 8th gen RAM:4GB HDD: 1TB,Core i5 8th gen,4GB,1TB,0,svc,Admin,,,,
220,Air HQ,Existing,Air HQ (U),All-in-One,Lenovo Idea Centre,4LT0QVK7,Core i7 12th gen RAM:16GB SSD: 512 GB,Core i7 12th gen,16GB,0,512 GB,svc,OIC Sy Flt,,,,
221,Air HQ,Existing,Air HQ (U),Desktop,Clone,N/A,Core i3 9th gen RAM:4GB HDD: 1TB,Core i3 9th gen,4GB,1TB,0,svc,Civil Admin,,,,
222,Air HQ,Existing,Air HQ (U),All-in-One,HP Pro One 240,8CC3241FQO,Core i5 12th gen RAM:8GB SSD: 512 GB,Core i5 12th gen,8GB,0,512 GB,svc,UWO,,,,
223,Air HQ,Existing,Air HQ (U),All-in-One,HP Pro One 240,8CC3241FQO,Core i5 12th gen RAM:8GB SSD: 512 GB,Core i5 12th gen,8GB,0,512 GB,svc,UWO,,,,
224,Air HQ,Existing,BAF Comm Unit,All-in-One,Brand: HP Model: Pro One 400 G6 20,5CD1492426,Core i5 7th gen RAM: 8GB HDD: 1 TB,Core i5 7th gen,8GB,1 TB,0,svc,Adjutant,,Not Issued,ok for win 10,
225,Air HQ,Existing,BAF Comm Unit,All-in-One,Brand: Lenovo,MP2B14MV,Core i5 13th gen RAM: 16GB SSD: 512GB,Core i5 13th gen,16GB,0,512GB,svc,Inventory Room,,Not Issued,,
226,Air HQ,Existing,BAF Comm Unit,Desktop,Clone,N/A,Core i3 10th gen RAM: 16GB HDD: 512GB SSD: 512GB,Core i3 10th gen,16GB,512GB,512GB,svc,Inventory Room,,Not Issued,,
227,Air HQ,Existing,BAF Comm Unit,All-in-One,Brand: HP,8CC3241FQZ,Core i5 12th gen RAM: 8GB SSD: 512GB,Core i5 12th gen,8GB,0,512GB,svc,PABX,,Not Issued,,
228,Air HQ,Existing,BAF Comm Unit,All-in-One,Brand: HP,8CC20218DV,Core i5 11th gen RAM: 8GB SSD: 512GB,Core i5 11th gen,8GB,0,512GB,svc,PABX,,Not Issued,,
229,Air HQ,Existing,BAF Comm Unit,All-in-One,Brand: HP,SGH820SQ7W,Core i5 7th gen RAM: 8GB SSD: 512GB,Core i5 7th gen,8GB,0,512GB,svc,PABX,,Not Issued,ok for win 10,
230,Air HQ,Existing,BAF Comm Unit,All-in-One,Brand: HP,N/A,Core i5 7th gen RAM: 8GB HDD: 1TB,Core i5 7th gen,8GB,1TB,0,svc,PABX,,Not Issued,ok for win 10,
231,Air HQ,Existing,BAF Comm Unit,All-in-One,Brand: Lenovo,MP2B14MN,Core i5 13th gen RAM: 16GB SSD: 512GB,Core i5 13th gen,16GB,0,512GB,svc,WOIC PABX,,Not Issued,,
232,Air HQ,Existing,BAF Comm Unit,All-in-One,Brand: Lenovo,MP2B14K2,Core i5 13th gen RAM: 16GB SSD: 512GB,Core i5 13th gen,16GB,0,512GB,U/S,PABX,,Not Issued,Display problem,
233,Air HQ,Existing,BAF Comm Unit,All-in-One,Brand: Lenovo,MP2B19WP,Core i5 13th gen RAM: 16GB SSD: 512GB,Core i5 13th gen,16GB,0,512GB,svc,Signal Center,,Not Issued,,
234,Air HQ,Existing,BAF Comm Unit,All-in-One,Brand: HP,8CC1420P5G,Core i5 10th gen RAM:8GB SSD: 512GB,Core i5 10th gen,8GB,0,512GB,svc,Bills & Records,,Not Issued,AD given,
235,Air HQ,Existing,BAF Comm Unit,All-in-One,Brand: HP,8CC0041ZNK,Core i5 9th gen RAM: 8GB SSD: 512GB,Core i5 9th gen,8GB,0,512GB,svc,Bills & Records,,Not Issued,,
236,Air HQ,Existing,BAF Comm Unit,All-in-One,Brand: HP,8CC9121253,Core i5 8th gen RAM: 8GB HDD: 1TB,Core i5 8th gen,8GB,1TB,0,svc,JCOIC Comm Sqn,,Not Issued,,
237,Air HQ,Existing,BAF Comm Unit,Desktop,Clone,N/A,Core i5 8th gen RAM: 8GB SSD: 512GB,Core i5 8th gen,8GB,0,512GB,svc,JCOIC Comm Sqn Room,,Not Issued,,
238,Air HQ,Existing,BAF Comm Unit,Desktop,Clone,N/A,Core i3 7th gen RAM: 8GB HDD: 512GB,Core i3 7th gen,8GB,512GB,0,svc,UWO,,Not Issued,ok for win 10,
239,Air HQ,Existing,BAF Comm Unit,All-in-One,Brand: HP,8CC1420PDV,Core i5 10th gen RAM:8GB SSD: 512GB,Core i5 10th gen,8GB,0,512GB,svc,Fault Control,,Not Issued,,
240,Air HQ,Existing,BAF Comm Unit,Desktop,Clone,N/A,Core i3 10th gen RAM: 8GB HDD: 298GB SSD: 128GB,Core i3 10th gen,8GB,298GB,128GB,svc,Fault Control,,Not Issued,,
241,Air HQ,Existing,BAF Comm Unit,Desktop,Clone,N/A,"Core i3 8th gen, RAM: 4 GB, HDD: 1TB",Core i3 8th gen,4 GB,1TB,0,svc,O/R,ok,Not Issued,,
242,Air HQ,Existing,BAF Comm Unit,Desktop,Clone,N/A,"Core i3 8th gen, RAM: 4 GB, SSD: 128GB HDD: 512 GB",Core i3 8th gen,4 GB,512 GB,128GB,svc,O/R,ok,Not Issued,,
243,Air HQ,Existing,BAF Comm Unit,All-in-One,Brand: HP,8CC9332JWD,"Core i5 8th gen, RAM: 8 GB, SSD: 128GB SSD: 512 GB",Core i5 8th gen,8 GB,0,128GB,svc,PA to OC,,Not Issued,,
244,Air HQ,Existing,ADOC,Desktop,Brand: HP,8CC9121L47,"Core i5 8th gen, RAM:8 GB, SSD:512 GB",Core i5 8th gen,8 GB,0,512 GB,svc,Tech Room,,Not Issued,,
245,Air HQ,Existing,ADOC,Desktop,Clone,N/A,Core i3 4th gen RAM: 2GB HDD: 1TB,Core i3 4th gen,2GB,1TB,0,svc,Tech Room,,Not Issued,,
246,Air HQ,Existing,ADOC,Desktop,Clone,N/A,Core i7 7th gen RAM: 8GB HDD: 1TB,Core i7 7th gen,8GB,1TB,0,svc,Trg Flt,,Not Issued,ok for win 10,
247,Air HQ,Existing,ADOC,Desktop,Clone,N/A,Core i3 8th gen RAM: 4GB SSD: 512GB,Core i3 8th gen,4GB,0,512GB,svc,O/R,,Not Issued,,
248,Air HQ,Existing,ADOC,Desktop,Clone,N/A,Core i7 8th gen RAM: 8GB SSD: 512GB,Core i7 8th gen,8GB,0,512GB,svc,O/R,,Not Issued,,
249,Air HQ,Existing,ADOC,Desktop,Brand: Dell,49SZPM2,Core i7 7th gen RAM: 8GB HDD: 1TB,Core i7 7th gen,8GB,1TB,0,svc,Adjt,,Not Issued,ok for win 10,
250,Air HQ,Existing,ADOC,Desktop,Clone,N/A,Core i7 8th gen RAM: 8GB SSD: 512GB,Core i7 8th gen,8GB,0,512GB,svc,Adjt,,Not Issued,,
251,Air HQ,Existing,ADOC,Desktop,Clone,N/A,Core i3 10th gen RAM: 4GB HDD: 1TB,Core i3 10th gen,4GB,1TB,0,svc,Adjt,,Not Issued,,
252,Air HQ,Existing,ADOC,Desktop,Clone,N/A,Core i3 6th gen RAM: 4GB HDD: 512GB,Core i3 6th gen,4GB,512GB,0,svc,PA to OC,,Not Issued,ok for win 10,
253,Air HQ,Existing,ADOC,Desktop,Clone,N/A,Core i7 8th gen RAM: 8GB SSD: 512GB,Core i7 8th gen,8GB,0,512GB,svc,Duty Controller,,Not Issued,,
254,Air HQ,Existing,ADOC,Desktop,Clone,N/A,Core i7 8th gen RAM: 8GB SSD: 512GB,Core i7 8th gen,8GB,0,512GB,svc,MLO,,Not Issued,,
255,Air HQ,Existing,ADOC,Desktop,Clone,N/A,Core i3 4th gen RAM: 4GB SSD: 128GB HDD: 512GB,Core i3 4th gen,4GB,512GB,128GB,svc,Flight Radar Ctrl,,Not Issued,,
256,Air HQ,Existing,ADOC,Desktop,Clone,N/A,Core i7 7th gen RAM: 8GB HDD: 2TB,Core i7 7th gen,8GB,2TB,0,svc,MLC,,Not Issued,ok for win 10,
257,Air HQ,Existing,ADOC,Desktop,Clone,N/A,Core i3 7th gen RAM: 4GB HDD: 512GB,Core i3 7th gen,4GB,512GB,0,svc,MLO,,Not Issued,ok for win 10,
258,Air HQ,Existing,ADOC,Desktop,Clone,N/A,Core i7 7th gen RAM: 4GB HDD: 2TB,Core i7 7th gen,4GB,2TB,0,svc,Ops Room,,Not Issued,ok for win 10,
259,Air HQ,Existing,ADOC,Desktop,"Brand: Dell, Model: Optiplex 7050",8QBK6Q2,Core i7 7th gen RAM: 16GB HDD: 1TB,Core i7 7th gen,16GB,1TB,0,svc,S/by Ops Room,,Not Issued,ok for win 10,
260,Air HQ,Existing,ADOC,Desktop,Clone,N/A,Core i3 3rd gen RAM: 4GB HDD: 512GB,Core i3 3rd gen,4GB,512GB,0,svc,Ops Office,,Not Issued,,
261,Air HQ,Existing,ADOC,Desktop,Clone,N/A,Core i3 8th gen RAM: 4GB SSD: 512GB,Core i3 8th gen,4GB,0,512GB,svc,S/by Ops Room,,Not Issued,ok for win 10,
262,Air HQ,Existing,ADOC,Desktop,Clone,N/A,Core i7 7th gen RAM: 8GB HDD: 1TB,Core i7 7th gen,8GB,1TB,0,svc,Ops Record,,Not Issued,ok for win 10,
263,Air HQ,Existing,ADOC,All-in-One,Brand: HP,8CC74720N2,Core i5 7th gen RAM: 4GB HDD: 1TB,Core i5 7th gen,4GB,1TB,0,svc,Ops Record,,Not Issued,ok for win 10,
264,Air HQ,Existing,ADOC,Desktop,Clone,N/A,Core i7 8th gen RAM: 8GB SSD: 512GB,Core i7 8th gen,8GB,0,512GB,svc,Supervisor,,Not Issued,ok for win 10,
265,Air HQ,Existing,ADOC,Desktop,Clone,N/A,Core i7 7th gen RAM: 8GB HDD: 1TB,Core i7 7th gen,8GB,1TB,0,svc,MLC,,Not Issued,ok for win 10,
266,Air HQ,Existing,ADOC,Desktop,Clone,N/A,Core i7 8th gen RAM: 8GB SSD: 512GB,Core i7 8th gen,8GB,0,512GB,svc,MLO,,Not Issued,ok for win 10,
267,Air HQ,Existing,ADOC,Desktop,Clone,N/A,Core i3 3rd gen RAM: 4GB SSD: 128GB,Core i3 3rd gen,4GB,0,128GB,svc,UWO,,Not Issued,,
268,Air HQ,Existing,BAF Comm Unit,Desktop,Clone,N/A,"Core i3 4th gen, RAM 4GB , HDD 1TB",Core i3 4th gen,4GB,1TB,0,svc,cypher section,,Not Issued,,
269,Air HQ,Existing,BAF Comm Unit,Desktop,Clone,N/A,"Core i3 4th gen, RAM 2 GB , HDD 150 GB",Core i3 4th gen,2 GB,150 GB,0,svc,cypher section,,Not Issued,,
270,Air HQ,Existing,BAF Comm Unit,Desktop,Clone,N/A,"Core i3 8th gen, RAM 4 GB , HDD 1 TB",Core i3 8th gen,4 GB,1 TB,0,svc,cypher section,,Not Issued,,
271,Air HQ,Existing,Air HQ (U),Desktop,Clone,N/A,"Core i3 4th Gen RAM: 4 GB SSD: 112 GB, HDD: 512 GB",Core i3 4th Gen,4 GB,512 GB,112 GB,svc,JCO GST & Sports Flt,,,,
272,Air HQ,Existing,CQCU,Desktop,Clone,N/A,"Core i3 6th Gen, RAM: 4 GB, HDD: 512 GB",Core i3 6th Gen,4 GB,512 GB,0,svc,AC Range,,Not Issued,ok for win 10,
273,Air HQ,Existing,CQCU,Desktop,Clone,N/A,U/S,U/S,0,0,0,U/S,QC      Stamp & MT Rage,,Not Issued,,
274,Air HQ,Existing,CQCU,Desktop,Clone,N/A,U/S,U/S,0,0,0,U/S,AC Range,,Not Issued,,
275,Air HQ,Existing,CQCU,Desktop,Clone,N/A,"Core i3 4th Gen, RAM: 4 GB, HDD: 1 TB",Core i3 4th Gen,4 GB,1 TB,0,svc,Cloting Rangeeee,,Not Issued,,
276,Air HQ,Existing,CQCU,Desktop,Clone,N/A,"Core i3 4th Gen, RAM: 2 GB, HDD: 1 TB",Core i3 4th Gen,2 GB,1 TB,0,svc,Armanent Range,,Not Issued,,
277,Air HQ,Existing,CQCU,Desktop,Clone,N/A,"Core i3 8th Gen, RAM: 4 GB, SSD: 256 GB, HDD: 512 GB",Core i3 8th Gen,4 GB,512 GB,256 GB,svc,Signal Range,,,,
278,Air HQ,Existing,CQCU,Desktop,Clone,N/A,"Core i5 7th Gen, RAM: 8 GB, SSD: 512 GB",Core i5 7th Gen,8 GB,0,512 GB,svc,JCOIC CQCU,,,,
279,Air HQ,Existing,CQCU,Desktop,Clone,N/A,"Core i5 9th Gen, RAM: 8 GB, HDD: 1 TB",Core i5 9th Gen,8 GB,1 TB,0,svc,OC CQCU,,,,
280,Air HQ,Existing,CQCU,Desktop,Clone,N/A,"Core i3 2nd Gen, RAM: 4 GB, SSD: 112 GB",Core i3 2nd Gen,4 GB,0,112 GB,svc,Ordary Room,,Not Issued,,
281,Air HQ,Existing,BAF RO,Desktop,CPU Brand Clone,N/A,"Core i3 3rd Gen, RAM: 4 GB. HDD: 50 GB",Core i3 3rd Gen,4 GB,50 GB,0,,ICT Cell,,Issued,,
282,Air HQ,Existing,BAF RO,Desktop,CPU Brand Clone,N/A,"Core i5 3rd Gen, RAM: 4 GB. HDD: 1TB",Core i5 3rd Gen,4 GB,1TB,0,,Docu IV,,Issued,,
283,Air HQ,Existing,BAF RO,Desktop,CPU Brand Clone,N/A,"Core i3 6th Gen, RAM: 4 GB. HDD: 128 GB",Core i3 6th Gen,4 GB,128 GB,0,,Pension Laison,,Issued,,
284,,,,,,,,,,0,0,,,,,,
285,,,,,,,,,,0,0,,,,,,
286,,,,,,,,,,0,0,,,,,,
287,,,,,,,,,,0,0,,,,,,
288,,,,,,,,,,0,0,,,,,,
289,,,,,,,,,,0,0,,,,,,
290,,,,,,,,,,0,0,,,,,,
291,,,,,,,,,,0,0,,,,,,
292,,,,,,,,,,0,0,,,,,,
293,,,,,,,,,,0,0,,,,,,
294,,,,,,,,,,0,0,,,,,,
295,,,,,,,,,,0,0,,,,,,
296,,,,,,,,,,0,0,,,,,,
297,,,,,,,,,,0,0,,,,,,
298,,,,,,,,,,0,0,,,,,,
299,,,,,,,,,,0,0,,,,,,
300,,,,,,,,,,0,0,,,,,,
301,,,,,,,,,,0,0,,,,,,
302,,,,,,,,,,0,0,,,,,,
303,,,,,,,,,,0,0,,,,,,
304,,,,,,,,,,0,0,,,,,,
305,,,,,,,,,,0,0,,,,,,
306,,,,,,,,,,0,0,,,,,,
